date,t,cp_location,cp_location_norm,cp_score
2015-07-30,21,NA,NA,NA
2015-07-31,22,1.0,1.0,0.9999999984583848
2015-08-03,23,10.969795940229037,0.5728668599890935,0.8910692912855137
2015-08-04,24,10.934004786315437,0.6221902482706935,0.854277461462244
2015-08-05,25,13.179994950817292,0.5628573832944147,0.7988839881594548
2015-08-06,26,12.127235709396325,0.6606078233620798,0.8048516099476991
2015-08-07,27,11.706417785821191,0.7282658197228005,0.7715223510707823
2015-08-10,28,NA,NA,NA
2015-08-11,29,22.02167492510221,0.3323011940427519,0.8138948156590001
2015-08-12,30,21.995538344610587,0.3811648407328292,0.8134516850942588
2015-08-13,31,21.99618890937448,0.42875290907740565,0.8667231624064669
2015-08-14,32,13.51933071322104,0.8800318707989983,0.8735358112012854
2015-08-17,33,13.311061578781663,0.9375684962484924,0.7766714360623531
2015-08-18,34,22.05767051986635,0.5686823561968405,0.6841653630995681
2015-08-19,35,28.00855269427838,0.33292606217722004,0.5908606984126976
2015-08-20,36,25.99582356758942,0.4763893539243134,0.5370085969455145
2015-08-21,37,25.9991844965023,0.5238483573094144,0.5806128175913643
2015-08-24,38,27.232473043457873,0.5127393788829584,0.6575106784258625
2015-08-25,39,24.477004505167056,0.691571214039664,0.8047727772926537
2015-08-26,40,39.99999748442441,1.1978931370647062e-07,0.865782622264592
2015-08-27,41,27.91102295921843,0.6232846209895987,0.6523872944027092
2015-08-28,42,37.0781163370217,0.23437541252277633,0.8204558789676539
2015-08-31,43,37.283877274547194,0.2721963202596574,0.8429674567029937
2015-09-01,44,37.574503491854585,0.30597602419740066,0.9272957179573597
2015-09-02,45,37.55113675095811,0.3547077737638996,0.9576109284545504
2015-09-03,46,37.58866748875237,0.4005396433927442,0.9730641157726517
2015-09-04,47,37.615241086590395,0.4468932815909336,0.9708094822470866
2015-09-08,48,37.47130462058178,0.5013664466389627,0.9436777249758657
2015-09-09,49,37.518998859544524,0.5467143400216893,0.9573084572168834
2015-09-10,50,37.32355175595717,0.6036403925734681,0.913883993918051
2015-09-11,51,37.20570893017129,0.6568710033251767,0.9044791452699126
2015-09-14,52,37.07081875841556,0.7109133924564018,0.842754779150909
2015-09-15,53,42.955724989254776,0.47829881003548685,0.643056791425561
2015-09-16,54,42.93707542619002,0.5268059320861895,0.6533775232692762
2015-09-17,55,44.98879235781668,0.47672417343730106,0.6924398449682272
2015-09-18,56,44.98610243787007,0.5244713124823774,0.7492197280678772
2015-09-21,57,44.98657826950143,0.5720677014523129,0.8066769385997232
2015-09-22,58,44.9938106983997,0.6193423476952524,0.7117834909668826
2015-09-23,59,44.985096571027455,0.6673763537605973,0.7981489335932046
2015-09-24,60,49.946855311087674,0.4787211756624917,0.9012557802982458
2015-09-25,61,51.67953096102061,0.44383185899901856,0.8019956726915397
2015-09-28,62,52.554391042013954,0.4497909027612403,0.7441868791023111
2015-09-29,63,52.060267479559464,0.5209396438305017,0.775128969096327
2015-09-30,64,52.80375445369802,0.5331545498239039,0.7262005017680803
2015-10-01,65,51.879032065250165,0.6248079968928493,0.772952493792874
2015-10-02,66,65.99737359434717,0.00012506693584920673,0.9923755136673955
2015-10-05,67,66.99660485595132,0.00016167352612769936,0.9439324117350281
2015-10-06,68,56.76304031330307,0.5350933184141394,0.8901032101240002
2015-10-07,69,60.534872005695384,0.4031013330621246,0.8458630558282051
2015-10-08,70,60.41644489185786,0.45635976705438774,0.8275539919038788
2015-10-09,71,60.49093124896992,0.5004318452871466,0.9026024250522133
2015-10-12,72,57.104930018185975,0.7092890467530488,0.9941373837781795
2015-10-13,73,57.075612287973435,0.7583041767631697,0.9951641669018927
2015-10-14,74,60.051321848389826,0.664222769124294,0.7588178006878283
2015-10-15,75,60.014328511702494,0.7136034042046431,0.6863720067332588
2015-10-16,76,60.02302515671363,0.7608083258707795,0.6505798568724663
2015-10-19,77,72.00095834155888,0.23804960278291024,0.9994575142399995
2015-10-20,78,71.29474247548112,0.3192979773580421,0.9992407821805837
2015-10-21,79,70.67859619777435,0.39625732391550694,0.9953163154440561
2015-10-22,80,66.96150210073291,0.6208808523460517,0.9779348829975887
2015-10-23,81,66.98827871357113,0.6672248231632794,0.9804308453951176
2015-10-26,82,70.75231153081685,0.535604212818245,0.9757231881430174
2015-10-27,83,67.69279660410885,0.7289144474233881,0.992383124103685
2015-10-28,84,67.81954605479358,0.7704978069145916,0.9940486832967416
2015-10-29,85,66.99175395558623,0.857535525924465,0.9984072868143051
2015-10-30,86,66.88511180436763,0.9102327712205893,0.9985824176598538
2015-11-02,87,66.48578153733425,0.9768675458412263,0.9990089755915587
2015-11-03,88,78.90440991999004,0.43312333714333123,0.8673689966008788
2015-11-04,89,78.86079105389778,0.48281947362391503,0.8737356782857464
2015-11-05,90,87.00327999765457,0.14270095249263937,0.9359721362076264
2015-11-06,91,81.87273178087048,0.4346318199585485,0.7212643164484114
2015-11-09,92,87.06376799731261,0.23505866679463763,0.8647605983718809
2015-11-10,93,87.29993172651352,0.27143182254697523,0.734147525691563
2015-11-11,94,87.32331835577135,0.3179372211537453,0.7162011890881852
2015-11-12,95,87.05708136348932,0.378234220786223,0.878452141984789
2015-11-13,96,87.14495502569653,0.4216688083001651,0.8210565269212182
2015-11-16,97,87.1417197823392,0.469441915126705,0.8311576699245198
2015-11-17,98,87.11810420640407,0.5181855139807586,0.8694554485166321
2015-11-18,99,87.1114155644496,0.5661230683595428,0.7854036638992792
2015-11-19,100,91.06699010183479,0.4253814237221529,0.5895724078732865
